Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
45,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
46,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
47,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
48,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
49,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
50,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
51,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
52,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
53,5.485259291350756557e+19,7.110249999999999934e+21,8.091139999999999777e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.416084245917020962e+04
54,1.349516480623890432e+20,7.948859999999999607e+21,8.107324999999999449e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.587179167536957175e+04
55,5.664776216666231276e+20,7.087734999999999640e+21,8.342595000000000205e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.719483745627141616e+04
56,1.669680242636672467e+21,1.056403999999999869e+22,1.017722500000000085e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.606921025605982868e+04
57,2.463593797097972616e+22,7.336494999999999273e+22,1.220207500000000111e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.372698891464429325e+05
58,2.214372414743089303e+23,7.256237500000000247e+23,1.691464999999999996e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.025297547171500977e+06
59,1.507802108796173172e+23,2.656280000000000178e+23,2.241789999999999949e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.223997350773012731e+05
60,5.314542638528934707e+22,3.372767500000000003e+22,1.278912499999999852e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.189898851185689564e+05
61,5.603812883974838026e+21,1.050240000000000000e+21,8.231300000000000239e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.639436324082238716e+05
62,1.152011013570098758e+21,2.097669200000000000e+20,1.046984000000000208e+02,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.342198709074041981e+05
63,1.593446569565173187e+20,8.137986587500000051e+19,8.988790000000000191e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,8.864378457694142708e+04
