Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
6.959266562599996515e+20	1.999215611695999992e+20	1.326666259999999905e+02	5.905965006250062569e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.633150169599999593e+05
5.661960000000000131e+21	9.552500000000000000e+20	1.010250000000000009e+02	6.255359999999999625e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.939650000000000000e+05
9.092320000000000000e+21	2.160590000000000066e+21	9.536939999999999566e+01	5.093110000000000090e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.256330000000000000e+05
5.610939999999999609e+22	1.191565999999999935e+22	3.556305999999999552e+01	2.663965000000000092e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.256620000000000000e+06
1.955319999999999906e+23	9.566120000000000369e+22	5.656290000000000125e+00	6.635699999999999653e+00	6.000000000000000000e+01	5.500000000000000000e+01	1.001300000000000000e+06
1.659053333333333552e+23	5.953593333333333215e+23	1.995996666666666551e+00	2.532296666666666993e+00	6.000000000000000000e+01	5.500000000000000000e+01	9.569903333333333921e+05
5.910350000000000326e+22	1.615912000000000093e+23	1.295619999999999660e+00	1.626916666666666612e+00	6.000000000000000000e+01	5.500000000000000000e+01	2.353556666666666590e+05
9.595963333333333595e+21	2.109123333333333311e+22	1.099130000000000153e+00	1.555390000000000092e+00	6.000000000000000000e+01	5.500000000000000000e+01	5.265023333333332995e+05
1.551339999999999935e+21	9.221060000000000393e+21	6.969125000000000252e-01	1.126050000000000152e+00	6.000000000000000000e+01	5.500000000000000000e+01	1.325550000000000156e+05
3.599509999999999692e+20	9.523295999999999506e+21	9.915630000000000166e-01	9.612550000000000051e-01	6.000000000000000000e+01	5.500000000000000000e+01	6.211600000000000365e+03
9.165660000000000000e+19	6.509055999999999399e+21	6.605090000000000236e-01	1.066065999999999959e+00	6.000000000000000000e+01	5.500000000000000000e+01	6.190920000000000093e+03
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
